문화시설명,전시회,박물관,음악 및 무용 발표회,전통 예술 공연,연극 공연,영화 관람,대중 공연,운동 경기
광림아트센터 장천홀,0.6302458,0.64041454,0.8551445,0.87682456,0.893653,0.8864198,0.8910322,0.78795004
민속극장풍류,0.5538622,0.5938374,0.77285445,0.7804873,0.79591095,0.82254744,0.79945576,0.7454455
강남문화재단,0.63394165,0.6360414,0.7880585,0.8177258,0.82639694,0.8676743,0.8358611,0.7713959
강남스포츠문화센터,0.61568224,0.66058147,0.85557306,0.8733742,0.8887975,0.9037063,0.8897029,0.8047629
대진체육관,0.61568224,0.66058147,0.85557306,0.8733742,0.8887975,0.9037063,0.8897029,0.8047629
K현대미술관,0.5919474,0.6283526,0.82311577,0.82227284,0.83487654,0.8552286,0.8309232,0.77728534
서초문화예술회관 (구 서초구민회관),0.632293,0.66021687,0.83467156,0.851588,0.8571679,0.8660654,0.8645145,0.80457175
코엑스 오디토리움,0.4974226,0.50244033,0.6252847,0.6202371,0.6204171,0.65362185,0.6232951,0.57695925
강남구민체육관,0.61568224,0.66058147,0.85557306,0.8733742,0.8887975,0.9037063,0.8897029,0.8047629
세실아트홀,0.63486683,0.6642134,0.83298564,0.84570384,0.86300904,0.8739712,0.8658751,0.7958376
강남구청,0.58815217,0.66430986,0.7074009,0.7044407,0.71031487,0.71921647,0.72572243,0.7259623
개포도서관,0.63394165,0.6360414,0.7880585,0.8177258,0.82639694,0.8676743,0.8358611,0.7713959
강남구립대치도서관,0.6167146,0.6640991,0.85813636,0.8801398,0.8971995,0.91025776,0.8975409,0.80736864
코엑스전시장,0.46889833,0.4755743,0.5769428,0.57994187,0.57409394,0.6014786,0.57871044,0.5361099
경기여고 경운박물관,0.5887947,0.5971377,0.78707683,0.79601,0.81970495,0.8226419,0.82253176,0.7255826
SETEC전시장(서울무역전시장),0.64766634,0.6756555,0.83373654,0.85678005,0.8644793,0.8895034,0.8709933,0.8295768
김영섭사진화랑,0.60728836,0.6678126,0.82079744,0.82969606,0.84227574,0.85650074,0.8381889,0.7692327
포스코미술관,0.52540386,0.55382884,0.7041435,0.7144749,0.7184371,0.74645793,0.7211445,0.65252465
